   #Iter                 Tot                 Exc                 Ani                  DM                  PD               BiqDM                  BQ                 Dip              Zeeman                 LSF                Chir                Ring                  SA
    4700 -2.72368511E-01 -2.69750952E-01  0.00000000E+00 -2.61862956E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  1.07044828E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    4750 -2.71617649E-01 -2.68565879E-01  0.00000000E+00 -3.05369193E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  1.92139115E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    4800 -2.79758490E-01 -2.77491796E-01  0.00000000E+00 -2.26488919E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00 -1.80414252E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    4850 -2.67558072E-01 -2.64726926E-01  0.00000000E+00 -2.83045952E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00 -6.85924146E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    4900 -2.70192694E-01 -2.67457080E-01  0.00000000E+00 -2.73431253E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00 -1.30150076E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    4950 -2.64241379E-01 -2.61857808E-01  0.00000000E+00 -2.37915261E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00 -4.41884748E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    5000 -2.68519442E-01 -2.66172220E-01  0.00000000E+00 -2.34538280E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00 -1.83968465E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    5050 -2.77710138E-01 -2.75497838E-01  0.00000000E+00 -2.21224115E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00 -5.91671575E-08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    5100 -2.81165155E-01 -2.78731766E-01  0.00000000E+00 -2.43435211E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  9.62767098E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    5150 -2.76150894E-01 -2.73823417E-01  0.00000000E+00 -2.32829266E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  8.16057799E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    5200 -2.75514981E-01 -2.72771614E-01  0.00000000E+00 -2.74363927E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  2.72116307E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    5250 -2.80585089E-01 -2.77989989E-01  0.00000000E+00 -2.59630063E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  1.20078100E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    5300 -2.76829899E-01 -2.74282037E-01  0.00000000E+00 -2.54755865E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00 -3.03284012E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    5350 -2.68571511E-01 -2.65527289E-01  0.00000000E+00 -3.04457541E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  3.53297089E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
